keys,zh,en
CHAR_CODY,"科迪","Cody"
CHAR_AQIANG,"阿强","A-Qiang"
CHAR_SQUAD_LEADER,"小队长","Squad Leader"
CHAR_ALIEN,"外星人","Alien"
CHAR_MILITARY,"军方","Military"
CHAR_MILITARY_CAPTAIN,"军方队长","Military Captain"
CHAR_COMMANDER,"长官","Commander"
CHAR_SHOOTER_1,"投篮好手1","Hoop Ace 1"
CHAR_BALLER_1,"篮球好手1","Hoop Ace 1"
CHAR_BOSS_XIE,"谢老板","Boss Xie"
CHAR_ENEMY,"敌人","Enemy"
CHAR_RESEARCHER,"军队研究人员","Military Researcher"
CHAR_QUEEN,"女王","Queen"
CHAR_KANGAROO,"袋鼠","Kangaroo"
CHAR_UNKNOWN,"？？？","???"
L1_INTRO_1,"哟！！！科迪！好球啊，还是这么准啊！","Yo!!! Cody! Nice shot, still got that aim!"
L1_INTRO_2,"嘿嘿","Hehe"
L1_INTRO_3,"如何？来比一场吧，看谁进的多？","How about it? Let's have a match, see who scores more?"
L1_INTRO_4,"来！","You're on!"
L1_END_1,"发生什么事了？！","What's happening?!"
L1_END_2,"看啊！天上那颗火球！","Look! That fireball in the sky!"
L1_END_3,"[shake]！！！[/shake] 那是我家的方向！不行，我得赶紧回去！","[shake]!!![/shake] That's the direction of my house! No, I have to get home right now!"
L1_END_4,"欸！等等科迪！","Hey! Wait, Cody!"
L1_END_5,"（希望能赶得上）","(I hope I make it in time)"
L2_INTRO_1,"都给我趴下！小的们！按计划，把这里的人抓起来一个一个筛查！","Everybody down! Alright boys, stick to the plan — round up everyone here and screen them one by one!"
L2_INTRO_2,"你们到底是什么？！","What on earth are you?!"
L2_INTRO_3,"你不需要知道因为你活不久了！","No need for you to know, since you won't live much longer!"
L2_INTRO_4,"[shake]！！！[/shake]","[shake]!!![/shake]"
L2_INTRO_5,"既然你这么迫不及待，那就从你先开始吧","Since you're so eager, let's start with you"
L2_INTRO_6,"你们要干什么？！","What are you going to do?!"
L2_INTRO_7,"嘿嘿嘿，我要你跟我比赛投篮，如果输给我的话，你的小命可不保了","Heh heh heh, you're going to face me in a shooting contest. Lose, and your life is forfeit"
L2_INTRO_8,"（它看起来不像是在开玩笑，看来只有拼一把了）","(It doesn't look like it's joking... I'll just have to go for it)"
L2_INTRO_9,"好吧，比就比","Fine, let's do this"
L2_END_1,"哼，很厉害嘛","Hmph, not bad at all"
L2_END_2,"你说好如果我赢了会放了我的","You promised to let me go if I won"
L2_END_3,"好吧好吧，我们篮球星人是最守信用的物种了，你可以走了，但是别让我再见到你","Fine, fine. We Basketballians are the most honorable species there is. You can go — but don't let me see you again"
L2_END_4,"（它看上去好像不会随便乱来，我应该借此机会问一些有用的信息）","(It doesn't seem like it'll go back on its word... I should use this chance to get some useful information)"
L2_END_5,"呵，你看上去并没有这么凶狠，你能告诉我现在到底什么情况吗？","Heh, you don't look all that vicious. Can you tell me what's actually going on?"
L2_END_6,"你们到底是从哪里来的？","Where exactly did you come from?"
L2_END_7,"还有那个从天而降的火球，到底是什么？","And that fireball that fell from the sky — what was that?"
L2_END_8,"停！","Stop!"
L2_END_9,"你太烦人了！我告诉你就是了你别再吵了","You're so annoying! Fine, I'll tell you, just stop pestering me"
L2_END_10,"我们是篮球星人，是从遥远的篮球之星来的。我们以投篮为生。","We are the Basketballians, from the distant Basketball Star. Shooting hoops is our way of life."
L2_END_11,"但是因为我们星球非常小，星球上的每个绝杀者都对彼此的投篮水平了如指掌了，所以我们发现在自己的星球上已经没有对手了。","But our planet is tiny, and every clutch shooter there knows everyone else's game inside out. We ran out of worthy opponents on our own planet."
L2_END_12,"有一天，我们得知了地球上也有很会投篮的人类，所以我们决定来到这个星球找出会投篮的人。","One day, we learned that Earth also has humans who are great at shooting, so we decided to come to this planet and find them."
L2_END_13,"为此我们一一筛查，如果遇到不会投篮的，或是输给我们的，就统统杀掉，只有强者能活下来","That's why we screen everyone one by one. Anyone who can't shoot, or loses to us, gets eliminated. Only the strong survive"
L2_END_14,"（这样下去不行，我得赶紧回家）","(This is bad. I need to get home, fast)"
L3_INTRO_1,"啊！","Ah!"
L3_INTRO_2,"澡堂居然！可恶。。。","The bathhouse... no way! Damn it..."
L3_INTRO_3,"谢老板没事吧。。。","Is Boss Xie okay..."
L3_INTRO_4,"谢老板！","Boss Xie!"
L3_INTRO_5,"唔。。。唔唔","Mmph... mmph mmph"
L3_INTRO_6,"噢？哪来的不要命的？！","Oh? Who's this with a death wish?!"
L3_INTRO_7,"你们的目的不就是想找人投篮吗？我跟你比，如果我赢了你就放了谢老板！","You're looking for people to shoot hoops with, right? I'll face you — if I win, you let Boss Xie go!"
L3_INTRO_8,"哟呵！居然知道规矩，看来你已经打败过我们的人了，不错嘛，那我可要看看你的能力了，只要你能赢，我就直接离开。","Oh ho! You know the rules — looks like you've already beaten one of ours. Not bad. Let's see what you've got then. Win, and I'll leave right away."
L3_INTRO_9,"（这家伙好像更厉害点，我不能掉以轻心啊）","(This one seems stronger. I can't let my guard down)"
L3_END_1,"哼，小子挺厉害啊","Hmph, kid's got skills"
L3_END_2,"你要说话算话","You'd better keep your word"
L3_END_3,"哼哼哼，我们可是最受信用的种族，既然输了，那我也会遵守诺言，可是小子，你得小心了，比我厉害的还有8个呢，呵呵呵","Heh heh heh, we're the most honorable species around. I lost, so I'll keep my promise. But watch yourself, kid — there are still 8 more out there stronger than me. Heh heh heh"
L3_END_4,"。。。谢老板你没事吧","...Boss Xie, are you alright?"
L3_END_5,"真是谢谢你啊，要不是你我的小命难保啊","Thank you so much. If it weren't for you, I'd be a goner"
L3_END_6,"谢老板，你要多加小心啊，我先走一步了","Boss Xie, please be careful. I have to get going"
L3_END_7,"科迪，你准备去哪里？","Cody, where are you headed?"
L3_END_8,"从他们那里得知了他们前来入侵地球的原因，如果不快点想办法找出他们剩下的同伴并一一击败的话后果会不堪设想，我要去追上刚刚那个家伙，这样一定能与他的同伴碰面","I learned from them why they're invading Earth. If we don't find the rest of their kind and defeat them one by one, the consequences will be unthinkable. I'm going after that guy from just now — that way I'm bound to run into his companions"
L3_END_9,"虽然让你一个人前去很危险，但是我也帮不上什么忙，我能做的只有完全相信你，你一定要注意安全，平安回来啊","It's dangerous for you to go alone, but there's nothing I can do to help. All I can do is put my full trust in you. Please stay safe and come back in one piece"
L3_END_10,"你放心吧谢老板！","Don't worry, Boss Xie!"
L4_INTRO_1,"（呃...这些都是...人骨！！）","(Ugh... these are all... human bones!!)"
L4_INTRO_2,"你是谁！","Who are you!"
L4_INTRO_3,"刚刚我的队友跟我说你打败了他，看来你小子挺厉害","My teammate just told me you beat him. Looks like you've got some skills, kid"
L4_INTRO_4,"哼，没想到这么快又遇到一个","Hmph, didn't expect to run into another one so soon"
L4_INTRO_5,"什么都不用说了，来PK吧！","Enough talk — let's battle!"
L4_END_1,"呼，呼，呼","Huff, huff, huff"
L4_END_2,"。。。","..."
L4_END_3,"可恶，居然被你打败了，那我就没理由拦你了","Damn it, I actually lost to you. I have no reason to stop you now"
L4_END_4,"你剩下的同伴都在哪？","Where are the rest of your companions?"
L4_END_5,"我的同伴已经去到世界各地了，想要打败我们可没这么容易，呵呵呵哈哈哈哈哈哈哈哈哈哈哈哈哈哈","My companions have already spread across the world. Defeating us won't be so easy. Heh heh heh HAHAHAHAHAHAHA"
L4_END_6,"可恶，我得加快脚步了","Damn, I need to pick up the pace"
L4_END_7,"!!!!!!!!","!!!!!!!!"
L4_END_8,"这。。。这里是！！","This... this is!!"
L4_END_9,"巴黎？？？！！！","Paris???!!!"
L4_END_10,"你！不准动","You! Freeze!"
L4_END_11,"！！！！！！！","!!!!!!!"
L4_END_12,"蓝色头发，背心短裤。。。你是科迪吧？","Blue hair, tank top and shorts... you must be Cody, right?"
L4_END_13,"你是怎么知道的？","How do you know that?"
L4_END_14,"你很出名啊，听说你已经干掉3个敌人了","You're famous! I heard you've already taken down 3 of them"
L4_END_15,"我们是地球保卫队，根据调查，在近期的外星人入侵事件中，你们已经出力打倒个别他们的人，我们需要你们的协助","We are the Earth Defense Force. According to our investigation, each of you has taken down some of the invaders in the recent alien incursion. We need your assistance"
L4_END_16,"我们会给予你们最大的帮助让你们去把敌人一一打败","We will give you our full support so you can defeat the enemies one by one"
L4_END_17,"可是他们已经去到世界各地了，我不知道他们现在在哪里","But they've already scattered across the world. I don't know where they are now"
L4_END_18,"不用担心，这一方面我们会负责调查，根据最新报告，其中一个称号为（外星人称号）的篮球星人在纽约，我们现在就带你过去","Don't worry, we'll handle the investigation. According to the latest report, one of the Basketballians, known as (alien title), is in New York. We'll take you there right now"
L5_INTRO_1,"他在那里，我们快过去吧","There he is, let's hurry over"
L5_INTRO_2,"你就是XXX（外星人称号）吧！","You must be XXX (alien title)!"
L5_INTRO_3,"你是谁？","Who are you?"
L5_INTRO_4,"我是来打败你的人","I'm the one who's here to defeat you"
L5_INTRO_5,"哼！口气不小，来吧！","Hmph! Big talk. Bring it on!"
L5_END_1,"既然你输了，我们现在需要逮捕你，不过你放心，只要事情结束你们离开地球我们就会放你走","Since you lost, we have to arrest you now. But don't worry — once this is all over and your kind leaves Earth, we'll let you go"
L5_END_2,"既然都已经输了，那我也没啥用处了，就跟你们走吧","Well, I've already lost, so I'm of no use anymore. I'll come with you"
L5_END_3,"科迪，你还好吧，喝点水，歇一会","Cody, you okay? Drink some water, take a break"
L5_END_4,"谢谢，下一个目标在哪里","Thanks. Where's the next target?"
L5_END_5,"目前根据报告显示，下一个在澳洲，等你休息好了我们就可以上路了","According to the latest report, the next one is in Australia. We can head out once you've rested"
L5_END_6,"我没事，我们走吧","I'm fine, let's go"
L6_INTRO_1,"袋鼠真是可爱啊，你好啊小袋袋，还是你喜欢我叫你小鼠鼠呢，讨厌","Kangaroos are just adorable! Hello there, little Pouchy~ Or would you rather I call you little Roo-Roo? Oh, you~"
L6_INTRO_2,"在那里！","There!"
L6_INTRO_3,"保护袋鼠！","Protect the kangaroo!"
L6_INTRO_4,"你们是？","And you are?"
L6_INTRO_5,"放开那个袋鼠！","Let go of that kangaroo!"
L6_INTRO_6,"你的对手是我！来跟我比一场投篮吧！","Your opponent is me! Face me in a shooting match!"
L6_END_1,"呼-呼。。。呼呼","Huff-huff... huff huff"
L6_END_2,"乖乖投降吧！","Just surrender already!"
L6_END_3,"呼。。呼你呼算呼呼算你厉害呼呼呼呼","Huff.. huff, fine, huff huff, you win, huff huff huff huff"
L6_END_4,"跟我们走吧","Come with us"
L6_END_5,"呼呼。。呼呼等下呼呼","Huff huff.. huff huff, wait, huff huff"
L6_END_6,"袋鼠呼呼，你要保重啊","Kangaroo, huff huff, take care of yourself"
L6_END_7,"？？？？？","?????"
L6_END_8,"走吧","Let's go"
L6_END_9,"好","Okay"
L6_END_10,"走吧下一个","On to the next one"
L6_END_11,"根据最新情报，下一个在巴西，我们走吧","According to the latest intel, the next one is in Brazil. Let's move"
L7_INTRO_1,"这个星球的篮球好奇怪啊，又小，又软，还没什么气，颜色还挺新奇","The basketballs on this planet are so weird — small, soft, barely any air in them, and such odd colors"
L7_INTRO_2,"找到了！！！","Found him!!!"
L7_INTRO_3,"！！！","!!!"
L7_INTRO_4,"放下那颗足球！","Put down that soccer ball!"
L7_INTRO_5,"足球？难道这不是篮球吗？","Soccer ball? Isn't this a basketball?"
L7_INTRO_6,"哼，你们原来足球和篮球分不清啊，真傻","Hmph, so you lot can't tell a soccer ball from a basketball. How silly"
L7_INTRO_7,"呃。。居然嘲笑我，我要把你们统统干掉！","Grr.. you dare mock me?! I'll wipe you all out!"
L7_INTRO_8,"等下！！你的对手在这里，跟他们没有关系","Wait!! Your opponent is right here. They have nothing to do with this"
L7_END_1,"居然有这么厉害的人类，情况不妙，赶紧撤退","A human this good?! This is bad — time to retreat!"
L7_END_2,"别跑！","Don't run!"
L7_END_3,"可恶！让他跑了！","Damn! He got away!"
L7_END_4,"派几个人！追！剩下的人保护科迪去下一个目标","Send a few men after him! The rest of you, escort Cody to the next target"
L7_END_5,"下一个在哪？","Where's the next one?"
L7_END_6,"刚刚总部传来消息，下一个在冰岛","HQ just sent word — the next one is in Iceland"
L7_END_7,"好，走吧","Alright, let's go"
L8_INTRO_1,"这个星球上居然还有这么可爱的生物","I can't believe this planet has such adorable creatures"
L8_INTRO_2,"放开那个狐狸和那匹马！","Let go of that fox and that horse!"
L8_INTRO_3,"哈？","Huh?"
L8_INTRO_4,"来跟我决斗吧！","Come duel me!"
L8_INTRO_5,"吐艳（讨厌），这么着急干吗嘛，又不是不会跟你比，先让我补补妆","Ugh, sooo pushy~ What's the rush? It's not like I won't play you. Just let me touch up my makeup first"
L8_INTRO_6,"额。。。。","Uh...."
L8_INTRO_7,"好了来吧","Alright, come on"
L8_END_1,"哎呀，小帅哥，技术不错嘛","My my, cutie, you've got some skills"
L8_END_2,"快抓住她！","Grab her, quick!"
L8_END_3,"看来不能跟小帅哥多聊两句了，那我们有缘再见吧","Looks like I can't chat with you any longer, cutie. Until fate brings us together again~"
L8_END_4,"哎呀！飞走了！第三部队追！","Ah! She flew off! Third squad, after her!"
L8_END_5,"时间紧迫剩下的我们去下一个地方吧！","Time's short — the rest of us should head to the next location!"
L8_END_6,"我们在南极发现了一艘坠毁的篮球星太空船，很可能他们的总部就在那艘船上，我们赶紧赶过去吧","We found a crashed Basketballian spaceship in Antarctica. Their headquarters is very likely on that ship. Let's hurry over"
L9_INTRO_1,"蓝发投手给我出来！","Blue-haired shooter, come out here!"
L9_INTRO_2,"在找我吗？","Looking for me?"
L9_INTRO_3,"外星人2已经跟我通过信说你把他打败了","Alien 2 already sent word that you defeated him"
L9_INTRO_4,"那又如何","So what?"
L9_INTRO_5,"臭小子挺能耐，就让我看看你还能笑多久吧","Cocky brat. Let's see how long you can keep smiling"
L9_INTRO_6,"随时奉陪","Anytime"
L9_END_1,"看来我是太小看你了","Looks like I underestimated you"
L9_END_2,"瞄准！","Take aim!"
L9_END_3,"哼，你们给我等着","Hmph, you'll all pay for this"
L9_END_4,"他们好像已经知道我们的行踪了","It seems they already know our movements"
L9_END_5,"没错，事情有点不太妙，我们得全速前进了","Right, things aren't looking good. We need to move at full speed"
L10_INTRO_1,"冷死了","It's freezing"
L10_INTRO_2,"报告！","Reporting, sir!"
L10_INTRO_3,"你们终于到了，那边就是敌人坠毁的太空船，我们目前只在外面观察，一直没有动静","You're finally here. That's the enemy's crashed spaceship over there. We've only been observing from outside — no movement so far"
L10_INTRO_4,"辛苦了，你们去把船上那两只带去审问","Good work. Go take those two on the ship in for questioning"
L10_INTRO_5,"谁是科迪！","Who here is Cody!"
L10_INTRO_6,"我就是！","That's me!"
L10_INTRO_7,"蓝头发蓝眼睛，我的族人告诉我你就是我们在找的射手，我现在需要把你带到母船内跟母亲来一场比试","Blue hair, blue eyes — my kin told me you're the shooter we've been looking for. I must take you to the mothership for a match against Mother"
L10_INTRO_8,"但是在这之前，我得亲自验证一下你的实力，所以来吧！！跟我决斗吧！","But before that, I must verify your skills myself. So come!! Duel me!"
L10_END_1,"哼，果然很厉害，你就是母亲在找的人类，跟我来吧","Hmph, impressive indeed. You're the human Mother is looking for. Come with me"
L10_END_2,"我们走！","Let's move!"
L10_END_3,"只有科迪可以跟我来，其他人禁止入内","Only Cody may come with me. Everyone else is forbidden to enter"
L10_END_4,"我不同意！保护科迪是我们的责任！","Unacceptable! Protecting Cody is our duty!"
L10_END_5,"队长，没有关系，我已经了解这个种族的个性了，只要我赢了，他们就不会对我怎么样，你放心吧","Captain, it's fine. I understand this species by now — as long as I win, they won't do anything to me. Don't worry"
L10_END_6,"可恶！那你一定要平安回来啊！","Damn it! Then you'd better come back safe!"
L10_END_7,"放心吧！","Don't worry!"
L11_INTRO_1,"你终于来了，科迪","You've finally come, Cody"
L11_INTRO_2,"你们是怎么知道我的名字的？！","How do you know my name?!"
L11_INTRO_3,"他跟我说你投篮很厉害，我一直很期待你的到来","He told me you're an amazing shooter. I've been looking forward to your arrival"
L11_INTRO_4,"他？","He?"
L11_INTRO_5,"你不用知道的这么多，来吧，让我看看你的实力吧！","You don't need to know so much. Come — show me what you can do!"
L11_END_1,"果然，真的很厉害","As expected — you truly are skilled"
L11_END_2,"你到底是谁？为什么会知道我","Who are you, really? How do you know about me?"
L11_END_3,"我是统领外星人的女王，也是他们的母亲，你应该已经知道我们的目的了，但是看样子我们是失败了","I am the Queen who rules the aliens, and their Mother. You must already know our purpose — but it seems we have failed"
L11_END_4,"既然失败了，那就收拾东西滚回你们的星球","If you've failed, then pack up and crawl back to your own planet"
L11_END_5,"哼哼哼哈哈哈哈哈哈哈，我的孩子们虽然都很天真老实，可是我可不一样，既然知道了有比我厉害的人，我就不能放你走！","Heh heh heh HAHAHAHAHA! My children may be naive and honest, but I am not. Now that I know someone out there is better than me, I cannot let you leave!"
L11_END_6,"（一口吞下科迪）","(Swallows Cody in one gulp)"
L12_INTRO_1,"这是哪里？！","Where am I?!"
L12_INTRO_2,"哈哈哈哈哈哈哈，放弃挣扎吧！你已经被我吞进肚子里了！","HAHAHAHAHA! Stop struggling! I've swallowed you into my belly!"
L12_INTRO_3,"可恶！没想到你这么狡猾！","Damn it! I didn't expect you to be so devious!"
L12_INTRO_4,"你就在我的胃里自生自灭吧哈哈哈哈哈哈哈哈哈！","You can rot away in my stomach! HAHAHAHAHAHA!"
L12_INTRO_5,"（可恶，一定有办法出去的）","(Damn... there has to be a way out)"
L12_INTRO_6,"嗯？那个东西看上去。。。。那不是个篮筐吗？！","Hm? That thing over there looks like.... isn't that a basketball hoop?!"
L12_INTRO_7,"我有办法了，只要我在这里一直投篮，就能让她的胃不舒服，最后说不定能把我吐出去","I've got it! If I keep shooting hoops in here, it'll upset her stomach — she might end up spitting me out"
L12_END_1,"唔啊啊啊","Urgh-aaaahhh"
L12_END_2,"（满身粘液）终于能呼吸到新鲜空气了","(Covered in slime) Finally, fresh air"
L12_END_3,"居然又被你打败了！啊啊啊啊啊！（气晕）","Defeated by you AGAIN! AAAAAH! (Faints from rage)"
L12_END_4,"不好，这个母船估计要撑不住了，我得赶紧跑","Uh oh, this mothership isn't going to hold much longer. I need to run"
L13_INTRO_1,"站住！","Halt!"
L13_INTRO_2,"谁？！","Who's there?!"
L13_INTRO_3,"阿强？？？？！！","A-Qiang????!!"
L13_INTRO_4,"阿强！你也被绑来了吗？","A-Qiang! Did they kidnap you too?"
L13_INTRO_5,"哼！你是真傻还是装傻？","Hmph! Are you really that dumb, or just pretending?"
L13_INTRO_6,"什么？","What?"
L13_INTRO_7,"世界第一的射手也不过如此","So this is the world's number one shooter. Not so impressive"
L13_INTRO_8,"。。。难道。。。","...Don't tell me..."
L13_INTRO_9,"你终于反应过来了，没错，就是我向女王通风报信的","You finally figured it out. That's right — I'm the one who tipped off the Queen"
L13_INTRO_10,"你为什么要这样做？","Why would you do this?"
L13_INTRO_11,"哼！从小到大，每次比赛都是你赢，你长得又好看，投篮又厉害，女生都围着你转","Hmph! Ever since we were kids, you won every single match. Good-looking, great at shooting — all the girls flocked around you"
L13_INTRO_12,"可是我呢！为什么我就要成为笑柄？！","But what about me?! Why did I have to be the laughingstock?!"
L13_INTRO_13,"所以我不甘心，我跟篮球星人达成协议，我帮他们找来厉害的篮球投手，而他们就必须要教我技巧，让我成为最强","I couldn't accept it. So I made a deal with the Basketballians — I find them skilled shooters, and in return they teach me their techniques and make me the strongest"
L13_INTRO_14,"可是没想到你居然连女王都打败了，还好，除了篮球星人教我的技巧，我自己也对自己进行了高强度训练","But I never imagined you'd defeat even the Queen. Good thing that besides the techniques they taught me, I've also put myself through intense training"
L13_INTRO_15,"来吧，现在的我是不可能输给你的！","Come on! The me of today cannot lose to you!"
L13_INTRO_16,"你为了打败我，居然出卖全人类！我今天必须要跟你做个了断！","You sold out all of humanity just to beat me! Today we settle this once and for all!"
L13_END_1,"可恶！！！我都这么努力了！居然还赢不了！","Damn it!!! I worked so hard! And I still can't win!"
L13_END_2,"哎，我的人生已经没有意义了，你走吧，就让我自生自灭吧","Ah, my life has no meaning anymore. Just go. Leave me to rot"
L13_END_3,"阿强。。。我没想到你的内心居然是这种想法","A-Qiang... I never knew you felt this way inside"
L13_END_4,"其实从小到大我都并没有把你当作是竞争对手，而是把你当一个一起成长的伙伴","The truth is, I never saw you as a rival. I saw you as a companion I grew up with"
L13_END_5,"对我来说，你是这个世界上最理解我的人，也是我不可或缺的好队友，更是我一生的挚友","To me, you're the person who understands me best in this world, a teammate I can't do without, and my lifelong best friend"
L13_END_6,"我并不介意你做的这一切，我也要向你道歉，这么久以来没有注意到你的情绪","I don't hold any of this against you. And I owe you an apology too — for never noticing how you felt all this time"
L13_END_7,"来，我们一起回去，然后再像以前那样一起打篮球","Come on, let's go home together, and play basketball like we used to"
L13_END_8,"（眼泪汪汪）科迪。。。","(Teary-eyed) Cody..."
L13_END_9,"谢谢你","Thank you"
L13_END_10,"阿强！！！！！！！！！！","A-Qiang!!!!!!!!!!"
INSTRUCTION_ILLUSION_FULL,"这是一个幻象关卡，赢得本关卡能够得到有利道具。一定时间内篮筐将会开始移动，趁着固定篮筐赶紧进球吧！","This is an illusion level — win it to earn a helpful gadget. After some time the hoop will start moving, so hurry and score while it stays in place!"
INSTRUCTION_ILLUSION_SHORT,"这是一个幻象关卡，赢得本关卡能够得到有利道具","This is an illusion level — win it to earn a helpful gadget"
